breast,breast,92.730,3425,236,8,1,3417,1,3420,0.0,6406,95.30
breast,breast,69.422,3460,967,40,1,3415,1,3414,0.0,4561,79.60
breast,breast,69.229,3474,971,47,1,3416,1,3434,0.0,4548,79.50
breast,breast,58.944,3410,1258,61,6,3370,6,3318,0.0,3670,71.73
breast,breast,57.662,3413,1282,75,1,3370,1,3293,0.0,3439,70.73
breast,breast,56.792,3423,1318,65,1,3376,1,3309,0.0,3414,70.64
breast,breast,46.092,1612,705,40,1844,3378,1802,3326,0.0,1257,60.98
breast,breast,44.195,267,135,8,1,260,1,260,1.36e-48,184,58.80
breast,breast,29.630,621,345,30,983,1548,942,1525,6.00e-27,113,45.73
breast,breast,29.921,127,66,6,1427,1550,1940,2046,4.89e-05,40.8,46.46
breast,breast,37.778,45,25,1,998,1042,1933,1974,0.003,34.7,60.00
breast,breast,54.167,24,11,0,1977,2000,1801,1824,0.018,32.3,83.33
breast,breast,42.197,1602,786,39,1790,3355,1678,3175,0.0,1076,58.80
breast,breast,34.125,463,239,19,8,424,8,450,1.10e-43,168,51.84
breast,breast,28.363,342,161,14,977,1249,1015,1341,1.35e-17,82.4,43.57
breast,breast,27.559,127,53,4,1978,2082,1450,1559,7.10e-06,43.5,42.52
breast,breast,46.512,43,23,0,1009,1051,921,963,6.38e-05,40.4,65.12
breast,breast,27.200,125,61,4,1428,1548,1863,1961,6.78e-04,37.0,43.20
breast,breast,24.016,254,151,8,1000,1246,853,1071,0.013,32.7,38.98
breast,breast,24.260,169,71,5,1978,2099,921,1079,0.023,32.0,36.69
breast,breast,34.568,81,48,3,957,1035,1812,1889,0.027,31.6,51.85
breast,breast,39.024,41,25,0,1213,1253,915,955,0.036,31.2,53.66
breast,breast,21.495,214,124,10,1810,2006,886,1072,0.047,30.8,42.99
breast,breast,41.061,1169,578,24,2222,3355,1778,2870,0.0,785,57.91
breast,breast,27.976,336,187,17,11,332,1,295,1.08e-16,79.3,45.83
breast,breast,22.989,609,351,21,1096,1607,767,1354,9.71e-11,59.7,37.27
breast,breast,25.461,271,139,11,1840,2082,1241,1476,4.62e-07,47.4,38.75
breast,breast,28.696,115,77,1,1975,2084,1492,1606,1.92e-06,45.4,50.43
breast,breast,26.230,244,120,10,1843,2080,1135,1324,2.74e-05,41.6,38.93
breast,breast,27.660,141,84,4,1428,1565,1368,1493,1.69e-04,38.9,43.26
breast,breast,26.119,134,70,4,1978,2082,1136,1269,2.84e-04,38.1,45.52
breast,breast,26.087,184,94,7,1975,2116,1577,1760,5.24e-04,37.4,40.76
breast,breast,23.952,167,92,5,1978,2111,901,1065,0.002,35.4,40.72
breast,breast,53.571,28,13,0,2057,2084,1135,1162,0.004,34.7,71.43
breast,breast,39.024,41,25,0,1522,1562,1366,1406,0.004,34.3,60.98
breast,breast,43.590,39,22,0,1218,1256,1367,1405,0.005,34.3,58.97
breast,breast,30.216,139,84,7,1187,1320,1597,1727,0.008,33.5,48.92
breast,breast,30.508,59,36,1,1187,1245,1425,1478,0.023,32.0,52.54
breast,breast,47.222,36,14,2,1003,1038,897,927,0.028,31.6,63.89


